
Conexiones activas

  Proto  Direcci¢n local          Direcci¢n remota        Estado           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1448
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1337           0.0.0.0:0              LISTENING       12960
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6736
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       6292
  TCP    0.0.0.0:19000          0.0.0.0:0              LISTENING       20492
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1072
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       624
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1508
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2372
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3336
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       4780
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       8352
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       8352
  TCP    0.0.0.0:49701          0.0.0.0:0              LISTENING       1052
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       2132
  TCP    127.0.0.1:5554         0.0.0.0:0              LISTENING       1068
  TCP    127.0.0.1:5555         0.0.0.0:0              LISTENING       1068
  TCP    127.0.0.1:5555         127.0.0.1:54506        ESTABLISHED     1068
  TCP    127.0.0.1:6880         0.0.0.0:0              LISTENING       8564
  TCP    127.0.0.1:6880         127.0.0.1:58772        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58773        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58774        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58777        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58780        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58783        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58784        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58785        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58788        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58789        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58790        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58793        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58795        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58796        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58798        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58800        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58803        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58804        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58805        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58806        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58808        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58809        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58810        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58811        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58812        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58821        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58823        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58828        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58833        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58834        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58835        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58836        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58838        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58839        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58840        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58841        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58842        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58844        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58845        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58846        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58847        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58848        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58850        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58851        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58852        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58853        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58854        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58856        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58857        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58858        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58859        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58860        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58862        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58864        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58865        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58866        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58868        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58869        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58870        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58872        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58874        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58875        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58877        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58878        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58880        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58881        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58883        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58884        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58886        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58887        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58888        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58890        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58892        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58893        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58894        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58895        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58896        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58898        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58899        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58901        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58902        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58904        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58905        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58907        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58908        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58909        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58911        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58913        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58914        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58915        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58917        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58919        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58920        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58923        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58924        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58925        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58926        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58927        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58929        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58930        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58931        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58932        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58933        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58935        TIME_WAIT       0
  TCP    127.0.0.1:6880         127.0.0.1:58936        TIME_WAIT       0
  TCP    127.0.0.1:7335         0.0.0.0:0              LISTENING       8176
  TCP    127.0.0.1:8554         0.0.0.0:0              LISTENING       1068
  TCP    127.0.0.1:10042        0.0.0.0:0              LISTENING       5212
  TCP    127.0.0.1:12025        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12110        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12119        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12143        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12465        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12563        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12993        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:12995        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:18412        0.0.0.0:0              LISTENING       8176
  TCP    127.0.0.1:19002        0.0.0.0:0              LISTENING       20492
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       8916
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING       4264
  TCP    127.0.0.1:44950        0.0.0.0:0              LISTENING       8176
  TCP    127.0.0.1:44960        0.0.0.0:0              LISTENING       8176
  TCP    127.0.0.1:49672        0.0.0.0:0              LISTENING       8564
  TCP    127.0.0.1:49673        0.0.0.0:0              LISTENING       8564
  TCP    127.0.0.1:53883        0.0.0.0:0              LISTENING       11372
  TCP    127.0.0.1:54463        127.0.0.1:54464        ESTABLISHED     10768
  TCP    127.0.0.1:54464        127.0.0.1:54463        ESTABLISHED     10768
  TCP    127.0.0.1:54472        127.0.0.1:54473        ESTABLISHED     2132
